LINK,A,B,a0,a1,a2,a3,a4
0,1,318,18.7182862041,0.0,0.0,0.0,1.66977222315e-13
1,1,320,21.8047884285,0.0,0.0,0.0,2.04419891517e-13
2,2,220,38.2668855077,0.0,0.0,0.0,3.58752051634e-13
3,3,250,10.309890796,0.0,0.0,0.0,2.35708522999e-12
4,3,369,3.1918578734,0.0,0.0,0.0,1.16889326419e-12
5,3,237,22.5087819722,0.0,0.0,0.0,2.21908967977e-13
6,4,376,1.67189428129,0.0,0.0,0.0,3.82234632211e-13
7,4,375,21.3909738098,0.0,0.0,0.0,4.89048326699e-12
8,4,366,17.6533302703,0.0,0.0,0.0,4.03596942622e-12
9,5,6,12.8333251437,0.0,0.0,0.0,1.92499877156e-12
10,5,244,17.9933200732,0.0,0.0,0.0,1.77392054925e-13
11,6,229,10.6885772394,0.0,0.0,0.0,1.05376254799e-13
12,6,152,42.9337196068,0.0,0.0,0.0,6.44005794101e-12
13,6,5,12.8333251437,0.0,0.0,0.0,1.92499877156e-12
14,7,410,92.3482542257,0.0,0.0,0.0,8.65764883366e-13
15,8,229,5.31641210956,0.0,0.0,0.0,5.24132992193e-14
16,8,269,4.84247148358,0.0,0.0,0.0,4.53981701585e-14
17,9,219,17.6524450366,0.0,0.0,0.0,1.65491672218e-13
18,10,24,22.5649203677,0.0,0.0,0.0,2.01291276546e-13
19,10,342,20.2373395063,0.0,0.0,0.0,1.89725057872e-13
20,11,81,16.476472099,0.0,0.0,0.0,1.46979029739e-13
21,12,36,4.41363839727,0.0,0.0,0.0,1.00906227647e-12
22,12,94,72.882606924,0.0,0.0,0.0,1.66626901975e-11
23,12,11,3.14276682114,0.0,0.0,0.0,2.80351773906e-14
24,13,14,9.25371744684,0.0,0.0,0.0,1.38805761703e-12
25,13,52,3.59334550555,0.0,0.0,0.0,3.20545826041e-14
26,13,141,329.360410206,0.0,0.0,0.0,7.52995908107e-11
27,14,13,9.25371744684,0.0,0.0,0.0,1.38805761703e-12
28,14,52,6.23729634296,0.0,0.0,0.0,5.56400520193e-14
29,14,337,14.9883067568,0.0,0.0,0.0,2.24824601353e-12
30,15,341,7.24087936579,0.0,0.0,0.0,1.65543652624e-12
31,15,343,2.53073420038,0.0,0.0,0.0,2.25755158667e-14
32,15,350,27.6379038279,0.0,0.0,0.0,6.31867943025e-12
33,16,367,45.9984210698,0.0,0.0,0.0,1.68451249035e-11
34,17,94,4.09175152471,0.0,0.0,0.0,6.13762728707e-13
35,17,93,60.1345698311,0.0,0.0,0.0,9.02018547466e-12
36,18,94,3.1246742972,0.0,0.0,0.0,7.14374553545e-13
37,18,17,7.91744799967,0.0,0.0,0.0,1.81011614076e-12
38,18,184,105.37700358,0.0,0.0,0.0,2.40916789163e-11
39,19,323,1.43921605762,0.0,0.0,0.0,2.15882408643e-13
40,19,326,24.358531876,0.0,0.0,0.0,5.56893732877e-12
41,20,38,39.6799906479,0.0,0.0,0.0,3.71999912324e-13
