orig,dest,trips
13569,14093,1.0
13569,14171,2.0
13569,14211,3.0
13569,13990,1.0
13569,13756,2.0
13569,16768,1.0
13569,16787,7.0
13569,13428,1.0
13569,16786,2.0
13569,13892,1.0
13569,13889,3.0
13569,15832,2.0
13569,14036,1.0
13569,14019,1.0
13569,13714,1.0
13569,14172,2.0
13569,14097,1.0
13569,13579,4.0
13569,14125,2.0
13569,13795,3.0
13569,14124,3.0
13569,18011,3.0
13569,16521,1.0
13569,18011,4.0
13569,13873,1.0
13569,13597,1.0
13569,15994,2.0
13569,16959,4.0
13569,14182,5.0
13569,14048,8.0
13569,13799,8.0
13569,14047,7.0
13569,13584,1.0
13569,18010,5.0
13569,14084,4.0
13569,15641,5.0
13569,17997,2.0
13569,13342,3.0
13569,13962,2.0
13569,17486,3.0
13569,13757,1.0
13569,13588,4.0
13569,15301,5.0
13569,13587,2.0
13569,17982,4.0
13569,14260,4.0
13569,14288,5.0
13569,15297,3.0
13569,18006,1.0
13569,15451,1.0
13569,16353,1.0
13569,13832,2.0
13569,13937,1.0
13569,14197,1.0
13569,15933,3.0
13569,13737,4.0
13569,13995,3.0
13569,13978,3.0
13569,14025,4.0
13569,18171,4.0
13569,18007,5.0
13569,18411,3.0
13569,14146,1.0
13569,14228,1.0
13569,14023,3.0
13569,13605,3.0
13569,15667,1.0
13569,13594,1.0
13569,17639,1.0
13569,14290,3.0
13569,13560,1.0
13569,13559,2.0
13569,13920,2.0
13569,13965,3.0
13569,13986,5.0
13569,13919,4.0
13569,13884,3.0
13569,15425,3.0
13569,13836,3.0
13569,13616,4.0
13569,15919,2.0
13569,15457,2.0
13569,13522,1.0
13569,13944,2.0
13569,13819,5.0
13569,13447,2.0
13569,13897,4.0
13569,13910,2.0
13569,13898,1.0
13569,13910,3.0
13569,16750,6.0
13569,13532,1.0
13569,13532,4.0
13569,17491,1.0
13569,17490,2.0
13569,13782,1.0
13569,16130,1.0
13569,16284,1.0
13569,13560,1.0
13569,14290,1.0
13569,18165,1.0
13569,16565,1.0
13569,13762,2.0
13569,13623,1.0
13569,15405,2.0
13569,17068,2.0
13569,13530,3.0
13569,13406,1.0
13569,13407,1.0
