orig,dest
24585,27470
24585,24585
24585,30223
24585,21871
16406,16126
12292,17481
16425,16425
24619,30223
24619,24619
16428,16428
16428,16428
16428,16428
16428,16428
24623,24623
24635,24635
8252,8252
24637,30223
24637,24637
62,62
63,63
68,68
6838,6838
24646,24646
24646,30223
24646,31197
71,71
12300,12300
12300,12300
12300,12300
8270,8270
86,86
24679,24679
8296,8296
24681,24681
24684,24684
24684,30223
8301,8301
16503,18284
16503,16503
16503,17432
24698,24698
123,123
125,125
8318,8318
10945,21871
10945,21591
10945,10945
16521,4627
16521,18284
146,146
24723,24723
13679,16126
24734,24734
16546,17432
172,172
177,177
16565,16565
24769,24769
16580,29700
16580,17481
16580,16580
24789,24789
30073,27470
30073,30073
30073,29700
24792,4820
24792,24792
24792,27470
24792,31175
24807,30223
24807,24807
16619,18284
16619,16619
16619,17432
16619,21591
24812,27470
24812,24812
24812,30223
24812,29700
24812,31175
24812,21871
16636,16636
16636,18284
16636,17432
16639,16639
16639,18284
260,260
16650,18284
16650,16650
16659,16659
16659,17481
24852,24852
8469,8469
8239,8239
24873,24873
24873,31197
24874,24874
24878,24878
24878,30223
24882,24882
16694,16694
312,312
24889,24889
24906,24906
24912,24912
24915,24915
24921,27470
24921,24921
24921,30223
8251,8251
24932,24932
20540,20540
20540,21591
24938,27470
24938,24938
16750,16750
61,61
373,373
16762,31197
16762,16762
384,384
16769,17481
16769,17432
16770,16770
16770,17481
20545,21871
20545,20545
12354,12354
12354,17481
16782,17481
16782,16782
16786,21871
16787,16787
8617,8617
20551,21871
20551,9217
20551,20551
20551,21591
435,435
25023,25023
25023,30223
16835,16126
16835,16835
16835,4820
16836,16126
16836,16836
16843,16843
16843,17432
25045,25045
25045,30223
25050,25050
25050,30223
25050,31197
25056,25056
25056,30223
16870,16126
16870,16870
16870,4820
25064,25064
25064,27470
8694,8694
8697,8697
16891,16891
16891,16126
25095,25095
25096,25096
521,521
521,29700
13741,21871
8721,8721
25110,25110
25110,31200
537,30223
537,537
545,545
545,31200
550,550
554,554
16943,17432
567,30223
567,567
572,572
572,30223
16959,16959
12384,18284
12384,17481
12384,17432
12384,21871
16966,16126
16966,4820
16966,4627
