orig,dest,trips
65295278,65334120,1
65295278,65343958,2
65295278,65352337,3
65295278,65325032,1
65295278,65309522,2
65295278,890045132,1
65295278,915248218,7
65295278,65284950,1
65295278,911547144,2
65295278,65317565,1
65295278,65317542,3
65295278,280836272,2
65295278,65328716,1
65295278,65327522,1
65295278,65307397,1
65295278,65343967,2
65295278,65334137,1
65295278,65295337,4
65295278,65337421,2
65295278,65312677,3
65295278,65337406,3
65295278,4019577207,3
65295278,612767847,1
65295278,4019577207,4
65295278,65317133,1
65295278,65296824,1
65295278,300781672,2
65295278,1249336037,4
65295278,65345305,5
65295278,65329133,8
65295278,65312695,8
65295278,65329125,7
65295278,65295355,1
65295278,4019294259,5
65295278,65333932,4
65295278,262263366,5
65295278,4008988541,2
65295278,65281338,3
65295278,65322190,2
65295278,2392273472,3
65295278,65309555,1
65295278,65295450,4
65295278,258756003,5
65295278,65295420,2
65295278,3998115410,4
65295278,65361705,4
65295278,65368988,5
65295278,258482635,3
65295278,4017324918,1
65295278,259139108,1
65295278,420514907,1
65295278,65314192,2
65295278,65319968,1
65295278,65350752,1
65295278,295224575,3
65295278,65308300,4
65295278,65325374,3
65295278,65324344,3
65295278,65328181,4
65295278,4357170829,4
65295278,4018939473,5
65295278,5035348357,3
65295278,65339305,1
65295278,65354081,1
65295278,65327923,3
65295278,65298353,3
65295278,263133817,1
65295278,65296327,1
65295278,2642129723,1
65295278,65369932,3
65295278,65294323,1
65295278,65294289,2
65295278,65318663,2
65295278,65322310,3
65295278,65324849,5
65295278,65318612,4
65295278,65317406,3
65295278,258968242,3
65295278,65314241,3
65295278,65300043,4
65295278,293818041,2
65295278,259394878,2
65295278,65290912,1
65295278,65320199,2
65295278,65313442,5
65295278,65286435,2
65295278,65317595,4
65295278,65317795,2
65295278,65317606,1
65295278,65317795,3
65295278,775298151,6
65295278,65291247,1
65295278,65291247,4
65295278,2399950829,1
65295278,2399950825,2
65295278,65311334,1
65295278,315706802,1
65295278,358888595,1
65295278,65294323,1
65295278,65369932,1
65295278,4353687911,1
65295278,665553804,1
65295278,65310244,2
65295278,65300486,1
65295278,258964133,2
65295278,1386837962,2
65295278,65291160,3
65295278,65284119,1
65295278,65284149,1
65295278,1378125483,1
65295278,65313107,1
65295278,258973935,1
65295278,65327574,1
65295278,1711296815,2
65295278,65291774,1
65295278,1707875334,1
65295278,65356861,1
65295278,65297593,1
65295278,65297593,1
65295278,420508886,1
65295278,65316662,1
65295278,258916758,3
65295278,65288353,2
65295278,65288277,2
65295278,65316123,1
65295278,1037911935,1
65295278,65307757,1
65295278,521076834,1
65295278,65347395,1
65295278,65433034,1
65295278,65415604,1
65295278,564663458,1
65295278,415282972,1
65295278,263019124,1
65295278,253722182,1
65295278,678963615,1
65295278,53059266,1
65295278,53091172,1
65295278,5049963582,1
65295278,53085288,1
65295278,53061124,1
65295278,53126420,1
65295278,53020955,1
65295278,53056303,1
65295278,57860492,1
65295278,57902823,1
65295278,370517276,1
65295278,57879662,1
65295278,2422412125,1
65295278,110358773,1
65295278,110421229,1
65295278,110410726,2
65295278,506409908,1
65295278,368396833,1
65305817,65319949,4
65305817,65334120,1
65305817,65352337,3
65305817,65339089,1
65305817,65325032,3
65305817,890045132,1
65305817,915248218,4
65305817,65284950,1
65305817,911547144,2
65305817,65317542,1
65305817,280836272,2
65305817,65305832,1
65305817,65328716,2
65305817,65307366,1
65305817,65327522,1
65305817,65307397,1
65305817,65343967,3
65305817,65334137,2
65305817,65319961,3
65305817,65295337,7
65305817,65337421,1
65305817,65312677,3
65305817,65337406,4
65305817,4019577207,3
65305817,612767847,2
65305817,4019577207,3
65305817,65317133,3
65305817,65296824,5
65305817,300781672,4
65305817,1249336037,7
65305817,65345305,15
65305817,65329133,9
65305817,65312695,5
65305817,65329125,3
65305817,65295355,3
65305817,4019294259,5
65305817,65333932,13
65305817,262263366,11
65305817,4008988541,7
65305817,65281338,7
65305817,65322190,1
65305817,4022970383,2
65305817,2392273472,2
65305817,258910938,1
65305817,258910950,1
65305817,65309555,1
65305817,65295450,3
65305817,65330054,3
65305817,258756007,4
65305817,258756003,4
65305817,65295420,4
65305817,3998115410,1
65305817,65361705,2
65305817,65368988,3
65305817,258482635,6
65305817,4017324918,3
65305817,259139108,4
65305817,420514907,3
65305817,65314192,6
65305817,65350752,2
65305817,295224575,5
65305817,65308300,3
65305817,65325374,4
65305817,65324344,7
65305817,65328181,6
65305817,65312115,4
65305817,4018939473,10
65305817,5035348357,3
65305817,65339305,5
65305817,65354081,4
65305817,65327923,6
65305817,65298353,3
65305817,295506085,3
65305817,263133817,3
65305817,2642129723,2
65305817,65294323,1
65305817,65294289,7
65305817,65318663,6
65305817,65322310,3
65305817,65324849,6
65305817,65318612,3
65305817,65317406,5
65305817,4357170828,4
65305817,258968242,11
65305817,65314241,5
65305817,65296202,3
65305817,65300043,4
65305817,293818041,1
65305817,259394878,3
65305817,65290912,1
65305817,65320199,1
65305817,65313442,4
65305817,65317595,3
65305817,65317795,8
65305817,65317606,2
65305817,65317795,1
65305817,775298151,3
65305817,65291247,1
65305817,65291247,3
65305817,2399950829,2
65305817,2399950825,1
65305817,65311334,1
65305817,65294323,3
65305817,65369932,3
65305817,1614214651,1
65305817,65314953,1
65305817,436986613,1
65305817,4353687911,2
65305817,65342266,1
65305817,65306124,1
65305817,315706881,3
65305817,65331336,2
65305817,65300486,2
65305817,65291433,2
65305817,65322409,1
65305817,648530371,3
65305817,65291160,1
65305817,65301931,2
65305817,65284149,1
65305817,1378125457,1
65305817,1378125457,1
65305817,65313107,1
65305817,258973935,2
65305817,65327574,1
65305817,297838768,3
65305817,65283145,1
65305817,65342038,2
65305817,1707875334,2
65305817,65297593,3
65305817,65297593,1
65305817,420508886,1
65305817,65316662,2
65305817,65289443,3
65305817,65316711,1
65305817,65288353,1
65305817,65320234,1
65305817,65288277,2
65305817,65283993,2
65305817,2456996803,2
65305817,315422377,1
65305817,1157512953,1
65305817,1037911909,1
65305817,1037911935,1
65305817,65307757,3
65305817,521076834,2
65305817,1378125457,1
65305817,65485025,1
65305817,65493275,1
65305817,65422427,1
65305817,829817232,1
65305817,420520650,2
65305817,340625114,1
65305817,65400162,1
65305817,65441395,1
65305817,522277410,1
65305817,65408175,1
65305817,53026828,1
65305817,4177111735,1
65305817,53087595,1
65305817,53003540,1
65305817,53033318,1
65305817,678963615,1
65305817,4350615756,1
65305817,53098609,1
65305817,4598419070,1
65305817,2367701764,1
65305817,53133390,1
65305817,53035727,1
65305817,240469682,1
65305817,243673105,1
65305817,57802426,1
65305817,57817024,1
65305817,57879662,1
65305817,57811305,1
65305817,57792467,1
65305817,1758910042,1
65305817,62451787,1
65305817,56023142,1
65305817,56034775,1
65305817,110358773,1
65305817,3984423298,1
65305817,3036383471,1
65305817,407087343,1
65305817,506409908,1
65352429,65352337,1
65352429,65325032,1
65352429,915248218,1
65352429,65334137,1
65352429,65319961,1
65352429,65337421,1
65352429,65337406,2
65352429,4019577207,1
65352429,612767847,1
65352429,4019577207,1
65352429,65317133,1
65352429,65329133,1
65352429,65312695,2
65352429,65295355,1
65352429,262263366,1
65352429,65281338,1
65352429,2392273472,1
65352429,258910938,1
65352429,65287360,1
65352429,65295450,2
65352429,258756003,1
65352429,65295420,1
65352429,4017324918,1
65352429,295224575,1
65352429,4018939473,1
65352429,65327923,1
65352429,65292574,1
65352429,263133817,1
65352429,2642129723,1
65352429,65317406,1
65352429,4357170828,1
65352429,258968242,1
65352429,65314241,1
65352429,293818041,2
65352429,65313442,1
65352429,65317595,1
